bitcoin address,wire amount,credit card
1HL6LY2CxxsXU7EJpE2LwpPd4SRQes1wUS,£7354.98,4201026596139307
1CBvLfvo9KcY8jFDiMiwyQw6ZtsSwtr8i,$4854.18,4913024945375507
17MViPAcZC6dT6PQc3WrQCMgnt5WQnvsKH,¥9010.03,6392393352482386
1PKZwKdSfhpi5PmQYiqsomruoVDLCyrbpT,"€949,92",3587138759452769
12ZiBbqSRxrYA5aRa7ai1cCskwFoc8VeFH,£8411.15,63041875879405771
1C6G5DtWZFVbniH6LXswRfA3Zrt6m6Kjek,£8263.96,5602236888138618
17NU9C3MSmE5k5GGePvVwyUVo3jLFEgVRr,£5705.27,4175000424284637
13XZUFgSBz7iDPjN5FmXQd6UzAaH3tD1JH,"€2980,61",564182958564919771
1KNqhqTCkqPLxxr5GBdLC4CBudj6Nw9Kpu,¥1779.26,3570906704028135
18TAuKxm9Xn61jaijjsg7jfMFdXEbYr4XY,$9821.09,3568585882924291
19mWsWerQ1n6omx5Wb7UM9uWMyYsCG3XQW,"€2187,46",3556222450479847
1PnSSfUdZ97jbrbCZHj4fC3UtjEz1gb1T9,¥2137.41,3548164341582556
14B1yGs4XEBaeXUfDqX4nPGA9kYVhZmxcK,"€1223,72",5536738677402726
19FiGAsCFTeP8gtvoakStkXEh9vig3WGmu,"€8402,87",3561941750284374
1KoWF5GhjppnNXPdYmjqKTm9MspVHPWyGp,£7265.43,3579184004861925
1ADGQwpogijcTFsRpSgSboLkMkr5yCfLCK,£2812.56,5100133861173083
1ASymS7r7c9m9W61i6L8dQ7hTA3ndcfvhG,"€5941,01",3535285585044220
1CN8oZ6gEmjHtcCmTg4nrhdEwX9rSUwWPM,£6514.90,50182273026612315
13jtV3C8L1L8d2udUVepVtZnMGszrxoy3p,$9815.79,5425637220466150
1AKZjLhEGff5CJFiojPhg3HPjv76zjfjtt,"€5936,11",5240460806593419
1GqaJVsRqggki49AKb3Y133kiLohmCDyDU,"€4221,54",3577252642285203
1GpjvNH5UqYrd4ko2gs3xqftGy9t3HmLrT,£1496.31,6380610156137872
18kXd5Lto6Hyhitg8sWKBkZFWnJVTSdtfC,¥2728.03,6763449540592435631
1F6aAYwUHGqVAKmJYGfDnuE4Vo4acJeFn6,$5944.40,3574652334193131
1C4QcaEx4m3UARLxyBBKGdknw7TTzA4GY7,"€6570,44",3581387662268905
1LeoJQZkPxDMQLQkGshnrxQvHVNcHSbJvb,"€8075,64",3551296556095652
1Kghvg87GQfiC6U1AexL1YJAd2EKnawmMS,"€947,08",5100139055806974
1JScBdh2RuK2pLxUwnoPuyuwswvZ3jPnbd,£9637.16,3558504868497125
15h5fuhjjwTPbCw366pTmJJHzxRj29KeCz,"€9321,58",3540811377590279
1N1iM9cyLYTh9RM1DvHtPDcUSzdps6QpUL,¥8342.38,3580222888926419
1EZfJWvz6NS5owjwyQPZyZhtYR9LQPpqju,£3653.30,3565609448198472
1kJ99xdukJYMctAm31t2EfnUhyuuKjb4x,$704.74,30499215534213
1PEWy2c6phsJunTfZ1X2kJQ2vCnvGxQHgc,£9663.87,3536179963644710
13WpQhRBfX4KTdw5hcVRygBN8qy1e7vTKg,$5272.08,5440767124022550
1PcSrrTGz726bQgHEf9yoqhJpXKtYawbC2,"€9095,24",491146177943611600
1HgHT1iBNjoKuU9fzuKMyGXRFSo8hWLFBu,"€1731,68",5002357165675670
1ELztN6jnGTwUCfFr3SfJ1GujbTGfc8ngB,$2942.44,4041596459636
1Pzr3buNadPAqyBaTqB9438nh3vAL3b3Zq,¥6696.79,67093862052871696
1Pt4fD4Krp6QL1JTMZH2Vx9QxMPTidBkoa,£1191.71,56022468965200152
1Coo74sHsXyb26ALEFSuL2DScuCt9qMgSK,$8728.74,3563120383714887
1BT3YwDaVHm79ZoTEPVCyHtBkgSWDinNak,£9809.54,5100563851464219
18mgwtMDw2MTkBMVM284v3eWiFHtYrXNPA,¥5916.11,4913248264039978
1JCjERep5QLYt6MgEwbq7KBt1f9MX3aKFE,¥2082.46,633110965232573021
16c7U37niVEAUtzSLc3RuAMDmKD8W1Y45T,$1560.80,3587576712216294
1LNQzXsWN9HG1a6v9UfVg42VvX9hPnjb5a,¥2325.59,3572159349120267
14hsHSxdwG1cmVt64H2NECnsrxmgi9f3oe,¥2633.86,6304931292217359
18EYAq5UyoXxCmZmo18tcbUu8m1UeNou5c,£2324.38,3561403453987191
1GQo3B4v4X1gAWbbAFFSdizcs5BdQLFKPA,$4010.34,4917419463714507
12VgeX1pnnwrGQEoP1BBAoT11NCuN6vUQV,£3050.32,4913739170830823
1Bo3bT8Yq1BwomwDzWcBwARzJ5EMd4hYte,$7156.45,6333286362995763
19KYxwHJBKsfKiEoDAJwpcLomLv5vwM8h5,£5487.20,201673992187063
163WQ7eYSB7VMoKDPCBU5BhDutTZrWFeoL,"€8306,32",6304335926034091
14x7dTmRhQdVbGiJgaTgkdLu5umZ8Gg9bq,$4554.82,4175009717330007
1GQEpZBHvLZi6Jupv7L3G9fsUJBXzouiim,£705.71,5007665072366422
15KdqbBCyVMMqKbUxdCX3jbfYt7SZ8bErN,¥2111.30,6771826297233268444
1PRZ7BpYzU8PaeGLFWco3TDeUDw7MKFqaV,$7668.00,3581187434359499
1BqEN9esN2iLuJVZvR14vL4Cu8PRMd72Rc,£936.52,6762879605059439953
1CXTeW8gryZ1sYKwun7JSibCVQvCMLnHDF,£3750.57,5554633487024082
1HxL8Z2cSpDhmtDXcEC1iJQkqMarQaXtZY,$1597.60,3571907176748928
1HExUBqPwuFC9VzjU1vUaSdj9NH9RpRTHU,£8375.07,4911436028117311422
16mYWrbua1EAnssJogJmE4oeetNTFpggMo,¥4047.89,5602251522974781
1PBtf8XabwDTJsF5dC1kS3hwUT7sSPcMFm,¥4151.07,5262093598326905
17inj7K8w3YjSf3cvvkopspsjvxZja2ict,¥5898.46,4913075104550371
18VN3buAeBZJ8Kcdzsdsdbmr6F3CZa36H9,$5741.24,3582019682151212
19g2QR7TVSPUxFHaWXrFGR4b7V2pnM3ZYz,£2273.01,3562357253766321
1AC4vTybES6dZKqb26PomdEZdJGT54sEkY,¥7334.53,5100139580251175
1Edao4p8naxJZnebJw5dN4ohwr82nqutGe,£4402.21,3580686102414446
1BcvJD6YJFimfLTbc6HumVSppqTdj2ZMZq,$7576.87,3554011799822748
1MwHbpWMs7apvzujv2y5VGBBmwHpJSwbF7,£832.09,3533742934044287
1BxvcRCfewT6zK4K69HYsV56QL5J9VF5mJ,"€4873,54",3547915321453618
15qP9viSHwk3NRa2MZsALybyWxavWJSBZn,$736.79,3585555364671206
191yPvaSyuXK7X1tv8b3bDJ99kWFgYUiSU,£3941.95,3578250187209264
1PtigDBjyyhfWefRNG1dzo8Qt5ascmM7AU,$6925.52,373665783156549
1G9RnZSSDeveoxpvEZ8pJYD3SvyoNJy5sg,£8113.55,3534916507138762
1AKPurPd3spwRCd7wULUNqXKSicnGVQD5i,£1064.67,30046475289804
12QRJs9EjXwjW2tJ1b9ZvrBzmRgd6whccM,¥5260.58,4844973877808675
1Lnu2gWfhAaLSn5KaeRmo81dBwkLa1NrAk,£4970.14,5893044016973866
1KsFwJx754ANHeD14vq14z9e6kk3LyprB9,$931.43,5038672105413007062
1DujuibmK81kW3r2h2LvXX6U4bkkGE3hb4,¥8058.58,3558349129229291
19FSDrsSNtocXNwEaYCLt26SbjPUhJJYZ3,¥7285.17,6377350348878126
1PFTTDshHhyebmbJ8R1XJZY2ffAtBDh3Az,£9881.83,3558937020211242
1ConjqaKHLgzavuWLgvTQwYAkXFQkBNw9v,"€3121,04",3545995992319191
15UptDySZnaU6seHPwEHcJ2gcG2iTQgSab,¥804.62,50180129948019553
1M4LPhnsjbDDHL1UEwkUwWCQWw8DnrUAT9,£5958.39,5610762909296069
1B3Xz6hmM92XuC3sGkJX4KXhWC7RPQ3nKL,"€9144,04",3589481938348971
1Av7LeMiXjxBPzSXfagBQHX4FYQvwJFGFy,¥5359.58,3554289979226233
1Eg4pnPE4ypma2oC67tzKTkK9QpcDoxNkd,"€8265,76",3561993942265928
1RcE32Evs27ZDWY2pEPnvWV21i72bvzud,¥5865.64,4911972825177063292
1PfrtouVWFuGpMGSj4UXa5BGRX2ypQovHa,$2334.19,3553253439121781
1EA9EdAWcpJ8CLGAWpCMt9wJrctrQ7R7YB,$2204.45,5531609121931674
1LEuaGZTDgTjKf5LKCdZz8eB9u8pVLAvXD,$5419.67,30141488628294
1APm66DFZwzroJR7wtiuquTUCJWFjGEKdu,¥1412.08,3557171784500357
19izsL2BtaDubWvwXeCKbhwqoqQrbAmvVh,"€9418,09",4175009150367219
12WSavqVTgFu66o6MyhfidJFQHmsRgaTck,$7850.20,6371832152955658
14RTPSSrMa5r3SVdPmdcJbQbuqRe3U6U44,£4282.20,3553979682224506
1HmBcAc28P5qxdM7Cuug4oSPzpUY4T5t8Q,£8049.54,5510766757179500
1JfxuDwn1APZqLFe7QhLMuMUoXttj6L7iN,£7301.81,3539737620369927
1BtNsLFXggT8NUtJWczfZNvwMxuevyKVzU,¥9084.39,3533344647268871
1KXxYFdwJvBz2heRRkF146Vt2cg55UaSC9,¥6046.30,5493342169369021
13Juu5FVFd1L5mPR3ULMMrqXU6rieyYMkA,¥568.15,3537425908982783
13vnNGtmvWwxVZgDMdYA8FdQzo7tYmXo6A,¥6782.18,5038972931314733358
1EQo1yhwZDMceYSQgVEp7B7HWm1jyoYe9g,$1748.80,3558032995449439
17kV2KNbS7U33gztmbymSBTQM2y4t8GZ7G,£2634.78,3576495332860253
15oLFWYcxxojGrRk1mcM9qQX4XppJL5S7Q,£7201.06,30516246712789
1BBVPxo59w2dBPVnHDfpSQGa2u7dDv7pHQ,£4919.45,630406186347388804
1EGdKJgCkrzBqu59xpre3y1knQZmcraqqk,$9733.07,374283005104435
1MWYAeWCtwHu32ZXnvuP734MFyP3iGm15s,¥2069.83,4606858385503
1KLUHA68MnkRRkjTzf3uc21DWiD2dTJYAj,$7180.97,36100978814628
1Q2nzn5PoedtLuP7ivnUxRQVCZbCe9XfcD,"€3041,05",3578615451708821
18HUyRaEu9A9ouGz4EKe3BqEhVmMtqH9pC,£5467.03,3565121137988429
1AwzCfWQrSWTzNS2zxQeGncvC47RWkVVxS,£2722.11,3575709935355938
1JbjVnRXiyjVTFcRPQoReKsYjVQwBMkgv8,£2695.81,6378676304608134
1JfuvmCGPVvRueomqQNJKfVoWW89GTxzFP,£2123.75,3556217299383762
14LAkibNbXYKbwtjEfJXvZtRmJeWwJkBVv,£7965.64,201537298979152
1A2aJWkuLi8Rq9z9FmXnQGkLviZxeEpbqb,"€9146,74",560223021342218765
19YUSm51Jz53w4jm8VuASCn4kMerrba8v1,$9439.58,3547018305506970
1A6DB5K14kd8qUpox8uzVWABQ7d8FwRsXc,¥9071.58,6761344991113117
1FoPBgp358ireQxUm6yLXD3usejwFUprLb,$9105.70,3574984518605717
1Kn55DYLfjKtMfBh3DXnD8rm7i5XiEXLvf,"€2227,02",3549792904542978
1Fahybw7mHy6zgAWTt24MGPSmDbuoXvmfC,$5852.93,201709131823943
1FH987ZFq2LTTp4VBjCuhH4xv6GgKTADgV,"€472,05",5602210650416775
1LZ72Et7WDMB1cRAgawSYbVYRP97LRawD7,"€1707,42",6304366747409014
1BZSkvF69gny5HiYMiXfFeGEYG8dFPHumh,£7319.95,67620629236370974
19pA7SyB2km4VhHuFaFRXm4fBjrUBq7v7D,£1945.53,5602237005276372
1PAJMBgYexmR6RVjaSBqVvAQUwpNhy1wnY,"€5753,36",4917238051265650
1LkfqgqKVauKQgi7NDym1VV1nodoYoxdn8,£430.10,3530944888264282
1MqLVKkC8xa5EmrE8uuaAmBa5xJHTmcJnj,£5101.73,3571369768315949
1QPXanTtmhxbmaxAZyvwnnFEYcY2ALqtX,£4044.10,6331108703086775
1DhPVVfpULW6Ke9m44KwMyC1GM6dwTyAvP,£8661.27,3586759285998602
1PHwjfiBaSEmcrqkiCdPkSDjYUVeMWFCJE,"€6623,62",201737191992316
1CrPVGtEjGu9NxrXYwS8YcGoTf6FReWQqb,$4128.29,5641825590942502344
1DXaRqNsBzfzGfB3SgUrj7U9EhRU7NuVV9,£8630.17,5602237666412654
188GUXSz47pkH44HBHmirdoc5mmqzW7aex,"€4526,04",3567263184657073
1PHAtbSw55JuEvFAHBKpFBKZpBDH2ShNMm,$898.88,3539080790319350
19NixTaQ6ibGHKFy2Jwm1xKyU4QnGCHmTX,$6734.93,30300305942847
1HnsMiVrMmxWkqUtwaCsfBBHYSkrEneLks,$2309.43,3569531892354573
1J5vnSNqtSNR226Sv6Q3KyKEn3witvE1EJ,"€1781,50",6761761468602711243
1M2xd7rXDK5oxiYmiUgTwzBGGb9MuawCDH,$2146.02,3549069075210481
18ncnHFEG1Bewk1evpyywB3P9ZuB1icbUk,"€4068,47",3549039612278150
16kdCJHv8si7WPcQTSUVeKLtHfvHJo857h,£519.10,4175009722874668
1QA7BcnUrLDM3LG7aSWj57XoihhEaCrBFm,"€6454,54",3557444607609980
154dcFnEG4k9uiF2LgWyUDHhh81r8NqXQJ,"€995,59",3586185772212895
1Nd4LFfBunjiTTUsCo8777X6QoPM2vgty4,"€9496,89",633303199334512524
1NttL1t3RcH5BH5fXYnDpjBa2igfyfNfcH,$1195.07,3572155515734337
1GME2n6KmSkECZYnfivaJRWM8jiczRNcUv,£3142.95,3568594951205236
1JmmSJ8Ybb5sUsFprfKzXyNLBhQkFceLLA,¥1863.77,501843209312885820
1Ex5XyqhMhMW6ZsqRmFTC3Lr7JwyJVnzUv,¥5513.36,3581849817386155
1LtFfTBDN2sQ4razLTSJDHCBVFj1SYtR6q,£1130.16,6385179824845287
16gCDh6cK7KCQq7LLhHWFQkEZMPUEGneWe,"€4409,24",4017957342959
1DcQsBvMXFER13jWCWd1xP1F6CD5yrAsRs,£5520.46,3578436314409436
19tK73fxEg98J2VJeSsfCXzxbkSJ3dG2h,"€8776,49",630491094951907602
19AKmVQgs467RPk1QeWxZpbSqbMU5ZjYQS,£4912.42,3560210359806321
19bUNmEhiqx8CjNyvrXgcKcbAQV3pn46Au,$673.68,374288213975682
16Pvu4NYsqG9G4ZcF2yknEFpqbcQVK9SAu,$153.56,6706094495342807976
15vjCQrqvk5XVErWnWhD9MEceojrhqGWGD,£6402.36,06048027970050583
18UiqafZBZjfyMx47JDiQ2xqANmtaXJwyH,"€2487,87",201771298050884
1781dPLgtaHggUQsDiTx9wsUUK5YJ5MFZa,"€242,77",3545488218907528
15r276qLdr6oxesK2nKsEM5xYV1hZ2sGfE,"€3869,28",30315095412868
1G66UpgdrqU4Rx6ktFGqHKc7YZcEn7NSvk,£3087.24,5007668153277708
1QFJYF54f4hUj54aAs2Su7aaxywfDQv1oC,£7566.01,3538879298022296
1N4DZBzaRWcE4ZBpVxtCDmcNq9tozFn3sr,$4928.88,201901479715902
1LMK2mMzwLSjRLVHreK9Jp6725v2pZ7SMc,£366.52,676334665850570239
1MvXqprZz7ADb3GxeKaLgz2dKa53NK4mcK,$182.36,3539876167264693
1FrbuYiMoGmTSQEefKBDWQ9Vg8v6YgpbwR,"€4780,02",3582317889292635
1Gr6sxXyk3dSBsyAzQ5i4eBMqZJ8pi6uZS,"€5149,48",371112794772198
12RHmfTEDhC7SXBtxDxgpydpkYPG1dzfk9,¥7279.96,4041374663425
14Dn5n7qMr8hu8ie9qDZW2dfekG5oc4EVd,$2893.37,3553465370414153
1ZyTiqFvrsukRRAcB8ym2yBJjrKZCRnt7,£3264.23,677162114637897347
1ADbcCU5oWuvaecTQshhebgvhEyow5Gme9,£3923.29,5002353932913981
1HYkQpEBf4bg75Xa1rFX96W8jBf9GNr2aR,£8111.68,6304593586035960690
1BH4q3LU41mcRHCEA2BaBbmiSNcimxnSJN,£5367.43,4913866178919553
14fLhTiNhPpvLyzdLqbYvMwTRMuvc6Z1ZB,"€4006,45",201673655141514
1CHe7pjNpqVafnR1Kvni2qBwNjqKQ3nQyK,"€9787,68",5602240507668632906
17ePjDmpe7s1gR1vmFJ1bWAXBN5GeQdn4A,¥322.00,4917973593952320
1BjKZgKXFvvrwsxtMuuZRjqAAgQ8tdSKAq,"€5250,32",3573941300317605
1HDCmb21bprap4WSeZxSG3PbMj4YbnatVN,$4914.37,63041683512424815
13gaxFaKoDYRqP9gQLSdPdS8b9wh57rCea,$9052.92,676278838713346026
1FiWydkbbrd9Jer28wVBNbqfdfemQNgG82,$4483.60,5323748752458334
1KiU85Ubkt3UxSaxR7QLFyRcvsq1JgqJyL,"€9117,91",3536567041167557
1zASTYQcvLGCzduPndcwC4DqrG8rJr375,£491.47,4917245497305123
141ymjLMwpqao3E1HWQtQ2FJZ22SQ8GoF5,¥354.42,4175000192737527
1JLmBMhnEcvjop3pXF27ZUJHm2woiLfR3u,£3742.09,5010121269937141
1Pona63yDeXEEwiRVWv1ZSQS9i8w55dSv,$2949.27,3582720401253557
12PB13c92Lxc7yWHM14xoEmFdzLNnL7kyj,$1323.86,4905842925451850222
1Lb9GvdQxYSbuGxFC3Phh6XGYYktHTXVbW,£8813.17,5602217978272731
15iw9W1dB1eyz3pBTKoMBLzPCoNAyj5Fy8,¥5507.18,3551428483441804
1PwRtFAjf4Bib7oua4eqVeExwgvsxGRBhd,¥6438.55,3568214176938442
14ghAtx9Y8ezrBNPofpfibTTSpV9yvUAgZ,$2065.42,3572696576033929
12NgayWmkw1DQ6WZjnJ3c2t1EFo3EGFENW,$2964.37,56022305894250017
12Cg74R5MkbzRh6bJuMqNqvV5a2gBB3oV7,"€3046,30",3548780131888992
16TfU2pqKvpBDT7izvv7aaH8EYLNYnGsAR,$3001.19,3534424703442047
1N4tDK7QSNyneS8yL4oDd4XxwDktjCJTje,£1566.79,5602237188499288
1GNViVW6GbaH11hXzaviqm6C5MXQ2Jpua6,¥997.83,6333639206693654155
14MzeYSgVz9YHrFxyvWMWgjSzZPt2XVpS2,¥6101.36,3538889263351836
1AdU8PS4yuLUfgqhAwz93aYE92TVvHqnNK,£5229.19,3558829890194220
19Cayjqcze93WaJ9UC6EJT8mZ1NjTLmz2W,"€6200,28",201483116629333
1BnTEceAEaoPi73ozqDtab2rV1mn4WRtCn,"€7148,89",374288191499713
1Ftp27ntb42BiFjXbdPWsTnzbUqJN8x9w,$104.08,0604432057703287
1NdC6eVm9wnWZNohBnyooNo8WgfQcrinjA,"€7403,66",3542741288998014
1EHbXrhk6msqP693MyVBtDqZL5XhPqxt7H,$4753.74,3549086549367796
15h8tV3ofxke1f29gpXYcKbcih55b5gk9F,¥2947.55,5602245404371707222
19EkDnSsuQmNyGpVwKrQaDf4FV5wR4CfFy,"€3029,66",5100143457597967
1CsYdSaaJv61evwG7Fkju1p7am85Qu5pVL,¥7099.70,560221248667165212
1982U2k3QSHejbPmg9PuGd2UtJXjcc3WJB,$5792.92,3561146965270073
142q9NuXdyb2ZzWaV6wYbmQW42sUe8dKEo,"€4930,49",6771053069398416330
1NLLc545CoU8oghs4qXR5mEJvA648uFUH2,¥235.16,3535528087206809
1AvirHP4LSqiXePmmUihPBA4iExQH5Q7Vr,"€595,72",6393144746267291
1BXKyPFRWdRnbanmwq1PwyDzPydg2iuvn7,¥4316.28,3586854348383742
13SbVcjz1mxzGaDhTo8oMApMdTUuzxjSyE,"€8929,21",5268047321689272
1MB9KcjFn6kcp8f48uzmM1SRyt2bg2kRDe,$184.59,30437604258226
1GStnQ9qqmE6Q1SCa7uN22DKDTQ93yYL9m,"€3933,11",3536055615539690
1N8gBCJcx9V3t9Q6RdYvgXXNNrMyyPxEyA,£1000.15,3582659939074806
12swraQrLLRsEBbwg9bvBL3sspsXajMJ8g,$4376.13,3565723258930807
15mgxKHTaqcrV3SNf6Pkb1DmooVqjKuDvN,£3179.10,372301703770463
1JTH2MzWFsStoWMUvY8Mio53xAXorxDKiQ,"€7440,44",6759581234559291502
1C5cELQUDfQHA5jqEkJ8T45WDHb2FEF3td,£7706.15,374288841852303
19GswiMSHR2MQAujxK3t8py4zGFh9uogNz,£7685.99,3588500725502655
12CvoohXUn6xnoA4JpsVfgvTwsxZBeQkxZ,¥2765.58,3550634603223482
19t78HHCj2DwrEdgL3h9xpKze2GHaGgjsh,"€1507,77",4508014110138377
1JBki2zYRjmFNy1V8S62LS7jDRu5jjcteD,"€5329,54",3532198800110739
1L4ge9uiE14zUzSFptUCRXAbKEeQBHE3Mv,¥6511.30,6334731592430024835
18c6zRjwYGTwC5sNzq5TGfU95tWswh8Wvk,£3071.53,5546307465725363
1AqfRoDnK8vn7EEzEbupBYtW51TrcuKYxi,$5217.97,4905476984851451
15nDSAvFhBf1UA6YcmQDa9ukuHkc1ykYdT,$2442.84,503824303056938934
12Zhp2ZrhJwjoMWmeWV4wxh32wikb27PM2,¥2434.35,4905620609372613
1MS7GGuFxPZQoCqseEjbmVaU5jHv5fk9GX,£5880.99,5100137557604426
1DadBkAzeK6oZFN2Ymyjf5E2qV2KJDNRDa,$838.99,3557256003251575
1GSeXPqmNVWbjhULzTt5whRDAbmnDfZc9L,¥4516.14,372301609613338
1HzSjRrLw4jzJbrxV2bCLym7gm9uEGDrky,"€470,67",3551305992276311
1A2jBPvujttAcvKDqKLTS7SXw31pwrjUsL,"€1157,40",6333005042470041
1HPth7whnArJ4Pxp4w7ZaaZnQp8uxSNkcw,¥1078.56,3542554678031381
1Kyga8jGF26CfsMr5hSSpeZg5Fvh26VKPT,£8051.99,3529564222080526
15gjTrWDqWf7g6mgDPY8JharD3yPLh2jqm,£779.10,374288638944321
1H9R4eT83yKGg65Y2R6r1D4FAewmZQfhP4,¥6521.54,561054347250916518
1CmCW6yvYDtH3yht38ivAspxk4GjxJYRPC,"€9175,69",3587763848244982
18zWjxxtuudAqgzQk73zmbZzfq1hKsBVSH,$7986.72,3586547936640545
1Gm95K2992URFrx2MX4ieZKDaQwp5qPpa8,£4558.83,3530764451342624
1DxghXxtLgDJkSAdya4Pj3kBwB1UpwMCUD,£1416.47,5602214825503954
19WfT3zwpzU7V6iRKpSA7R2hdvYjMTe8s9,$2337.65,4844144366670519
128W1JFwc5rjkt3quEgAuSh7eAipjfLEgk,"€6469,21",67711109725803462
1NsyjYikpV2kPRc1JVRjYWSbdvJX5B4shf,$8555.49,3544160105858566
1C3nhQkHzs32iyMKBR2Ym8T1EcnufshaZk,£2972.13,3557695692218025
1JpSe179DVZBzrfXkkybwUortXrv8LqsGL,¥7214.86,5010125500563673
12rbJrPgjx4i3UBvPvFXV1fjBVHAZF3bmk,¥8861.73,3564029113711684
1GtqMMoDME4Yh5p4vg4TGKFFqYWCDDVGFo,$7400.41,5591919497464839
153cDVZqJ6SCtDd6twrjBZEg4a6q96scHs,£1775.17,3568317201624687
1JLchxUjziQLQzT4ztvdbqbj531xm1y82f,$3023.46,5456752062557875
1PNWgjtsfLRE3bwDDQ75B1tFvAcagoYALZ,£8487.83,5100133843709319
1FmivEabHLehnFfP9KcLWcqXdcxdzhJcaa,"€7356,78",4844438453758025
1AsKz76U79womp6q4WHnUSLk89r5ak5GPS,"€8956,08",50203541590687011
1GYR7HJbt8tG3EHfgEcXs7dtGedHh19jQm,£854.88,4905909916455488
13LQwupaCphnhhDg7f6wQdp1MaoTHjeLdG,"€9923,47",30443358184477
1HeUrfZpXV1ZSTyTFKUVfr7nKXvbA3XVm9,$3964.90,3568631654667989
15TetucCUiZjZ9A1HBeSV1Ckq2bJMzUQkn,£303.90,3565747687477619
13pRnCzkyybCRZAjyQkHPbPAj9nWXwaHGk,"€3397,03",5002354518348162
1MWdPJqbhVEkBtFTubsF1n4jfGQg3Y5xGA,£5871.25,3561859231259478
